83,Katarzyna Zawadzka,1984,"['W imieniu diabla', 'Bod obnovy', 'Mecenas Porada', '2021–2023 • 16 episodios', '2020']",['Reparto'],"['Polish Film Festival Gan', 'Contribuir a esta página ir ']"
84,Malgorzata Kozuchowska,1971,"['Rodzinka.pl', '2011–2020 • 275 episodios', '1997', 'Maria Okonska', 'Ewa Szanska']","['Reparto', 'Producción', 'Banda sonora']","['Telekamery Nom', 'Contribuir a esta página ir ']"
85,Piotr Stramowski,1987,"['Na dobre i na zle', '2012–2015 • 18 episodios', '2023', 'Robert Wielgosz', 'Specialist Interrogator']","['Reparto', 'Producción']","['CinEuphoria Awards Nom', 'Contribuir a esta página ir ']"
86,Zbigniew Zamachowski,1961,"['Tres colores: Blanco', 'Tres colores: Azul', 'Tres colores: Rojo', 'Prueba de vida']","['Reparto', 'Composición', 'Música']","['European Film Awards Nom', 'Polish Film Festival Gan', 'Polish Film Awards Gan', 'Contribuir a esta página ir ']"
88,Aml Ameen,1985,"['Yardie', 'Podría destruirte', '2020 • 4 episodios', '2014', '2006']","['Reparto', 'Producción', 'Dirección']","['Film Independent Spirit Awards Nom', 'Canadian Screen Awards CA Nom', 'South African Film and Television Awards Gan', 'National Film Awards UK Nom']"
89,Glynn Turman,1947,"['Super 8', 'John muere al final', 'Gremlins', 'La madre del blues']","['Reparto', 'Dirección', 'Producción']","['Critics Choice Awards Nom', 'Primetime Emmy Awards Nom', 'Image Awards (NAACP) Nom', 'Film Independent Spirit Awards Nom', 'Los Angeles Film Critics Association Awards Gan']"
90,Chris Rock,1965,"['Top cinco', 'El clan de los rompehuesos', 'De incompetente a presidente', 'Madagascar']","['Producción', 'Reparto', 'Guion']","['American Comedy Awards USA Nom', 'Blockbuster Entertainment Awards Gan', 'Critics Choice Awards Nom', 'CableACE Awards Gan', 'Directors Guild of America USA Nom']"
91,CCH Pounder,1952,"['The Shield: Al margen de la ley', '2002–2008 • 88 episodios', '2009', '2013', '1993']","['Reparto', 'Producción']","['Primetime Emmy Awards Nom', 'Satellite Awards Gan', 'Image Awards (NAACP) Nom', 'NAMIC Vision Awards Nom', 'Black Reel Awards Gan']"
92,Audra McDonald,1970,"['La bella y la bestia', 'Sin cita previa', '2007–2013 • 77 episodios', 'Liz ReddickLiz Reddick-Lawrence', 'Película de TV']","['Reparto', 'Producción', 'Banda sonora']","['Critics Choice Awards Nom', 'Casting Society of America USA Gan', 'Primetime Emmy Awards Nom', 'Satellite Awards Nom', 'Grammy Awards Nom']"
93,Jeffrey Wright,1965,"['American Fiction', 'La Crónica Francesa', 'The Batman', 'Flores rotas']","['Reparto', 'Producción', 'Equipos adicionales']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'BET Awards Nom', 'Critics Choice Awards Nom', 'Chicago Film Critics Association Awards Nom']"
