,0,1,2,3,4,5,6,7
89,7.0,84%,Steve Bonich,Elizabeth BanksLiam HemsworthJosh Hutcherson,"Official video released by Lionsgate showcasing highlights from the The Hunger Games European Premiere, which took place on March 14, 2012, at London's O2. Actors Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Elizabeth Banks and Toby Jones were in attendance.",Action,2012,The Hunger Games Premiere
90,5.8,50%,Antonio Negret,Michael Gilvary,"A gang of bank robbers hide their loot in the car of a family going camping. They chase down the family to kill them and get the loot back, but run into a fight.","Action
Crime
Thriller",1h 28m,Transit
91,7.8,92%,Sam Mendes,Neal Purvis,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.","Action
Adventure
Thriller",2h 23m,Skyfall
92,4.8,40%,David Ren,Larry Madill,"When Sandy, a call girl at ""The Naked Eye"", ends up dead, her friend and only ally in the world, Jake, goes on a manhunt to find out who killed her.","Action
Crime
Mystery",1h 24m,The Girl from the Naked Eye
93,6.6,56%,Tony Gilroy,Tony Gilroy,"An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films.","Action
Adventure
Thriller",2h 15m,The Bourne Legacy
94,7.2,85%,Phil Lord,Michael Bacall,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,"Action
Comedy
Crime",1h 49m,21 Jump Street
95,5.3,15%,Dan Bradley,Carl Ellsworth,A group of teenagers look to save their town from an invasion of North Korean soldiers.,"Action
Drama
War",1h 33m,Red Dawn
96,5.4,51%,RZA,RZA,"On the hunt for a fabled treasure of gold, a band of warriors, assassins, and a rogue British soldier descend upon a village in feudal China, where a humble blacksmith looks to defend himself and his fellow villagers.",Action,1h 35m,The Man with the Iron Fists
97,5.1,51%,Bobby Farrelly,Mike Cerrone,"While trying to save their childhood orphanage, Moe, Larry, and Curly inadvertently stumble into a murder plot and wind up starring in a reality television show.","Comedy
Family",1h 32m,The Three Stooges
98,5.8,34%,Cal Brunker,Bob Barlen,"Astronaut Scorch Supernova finds himself caught in a trap when he responds to an SOS from a notoriously dangerous alien planet, Earth.","Animation
Adventure
Comedy",1h 29m,Escape from Planet Earth
99,5.9,78%,Jay Duplass,Jay Duplass,Two brothers compete in their own private 25-event Olympics.,"Comedy
Sport",1h 30m,The Do-Deca-Pentathlon
100,7.0,44%,Genndy Tartakovsky,Peter Baynham,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter.","Animation
Adventure
Comedy",1h 31m,Hotel Transylvania
101,2.8,0%,Sascha Hartmann,Tessa Hartmann,"A retired veterinarian living in a remote Scottish village encounters a goat who thinks he's a dog, an Admiral who's afraid of the water, and a beaver who was raised by rabbits.","Animation
Adventure
Comedy",1h 16m,Sir Billi
102,6.0,50%,Walter Salles,Jack Kerouac,"Young writer Sal Paradise has his life shaken by the arrival of free-spirited Dean Moriarty and his girl, Marylou. As they travel across the country, they encounter a mix of people who each impact their journey indelibly.","Adventure
Drama
Romance",2h 4m,On the Road
103,7.9,86%,Ang Lee,Yann Martel,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.","Adventure
Drama
Fantasy",2h 7m,Life of Pi
104,5.9,40%,Anthony Hemingway,John Ridley,"A crew of African American pilots in the Tuskegee training program, having faced segregation while kept mostly on the ground during World War II, are called into duty under the guidance of Col. A.J. Bullard.","Action
Drama
History",2h 5m,Red Tails
105,7.1,77%,Kirk DeMicco,Kirk DeMicco,"After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.","Animation
Adventure
Comedy",1h 38m,The Croods
106,6.5,76%,Frank Miller,Frank Miller,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,"Action
Crime
Thriller",1h 42m,Sin City: A Dame to Kill For
107,3.5,42%,Brian Thompson,Brian Thompson,A struggling and publicly disgraced Hollywood icon gets another shot at mega stardom when he is hired to star and direct an action movie in Uzbekistan.,Comedy,1h 28m,The Extendables
108,5.0,88%,Phil Donlon,Phil Donlon,"Racial family conflict results in a horrific car accident that leaves Marcus Wells a successful African American executive, proud husband and father--alone, in a secret world of guilt and despair, while he cares for his wife's incapacitated grandmother. Displaced from city to farm life, Marcus faces his darkest fears, his wife's vengeful grandmother, and the truth abo... Read all",Drama,55m,The Man in the Silo
109,5.0,81%,Ramin Bahrani,Ray Bradbury,"In a terrifying care-free future, a young man, Guy Montag, whose job as a fireman is to burn all books, questions his actions after meeting a young woman - and begins to rebel against society.","Drama
Sci-Fi
Thriller",1h 40m,Fahrenheit 451
