,0,1,2,3,4,5,6,7
167,"6,1",32%,David O. Russell,David O. Russell,"Ambientada en los años 30, sigue a tres amigos que son testigos de un asesinato, se convierten en sospechosos y descubren uno de los complots más escandalosos de la historia de Estados Unidos.","Comedia
Drama
Historia",2h 14min,Ámsterdam
168,"5,9",90%,Francisca Alegria,Francisca Alegria,"Cecilia travels to her father's farm after he has a heart attack. Back in her childhood home, Cecilia is met by her long-deceased mother whose presence brings to life a painful past chorused by the natural world around them.",Drama,1h 38min,La vaca que cantó una canción hacia el futuro
169,"6,4",69%,Meg Leonard,Nick Moorcroft,Una secuela de la exitosa película británica.,"Comedia
Drama
Música",1h 51min,Fisherman's Friends: One and All
170,"6,1",74%,Angus MacLane,Angus MacLane,La historia de Buzz Lightyear y sus aventuras hasta el infinito y más allá.,"Animación
Acción
Aventura",1h 45min,Lightyear
171,"6,1",32%,David O. Russell,David O. Russell,"Ambientada en los años 30, sigue a tres amigos que son testigos de un asesinato, se convierten en sospechosos y descubren uno de los complots más escandalosos de la historia de Estados Unidos.","Comedia
Drama
Historia",2h 14min,Ámsterdam
172,"5,5",29%,Joshua Tickell,William Mapother,Un periodista y un ejecutivo de una compañía petrolera se encuentran en lados opuestos de la lucha durante la construcción del polémico oleoducto Dakota Access que atraviesa la reserva india de Standing Rock en Dakota del Norte.,Drama,1h 26min,On Sacred Ground
173,"5,9",91%,Patrice Leconte,Georges Simenon,"En París, una joven es encontrada muerta en una plaza, vestida con un traje de noche. El comisario Maigret intentará identificar al asesino y luego entender qué pasó con la víctima.","Crimen
Drama
Misterio",1h 29min,Maigret
174,"7,1",57%,Damien Chazelle,Damien Chazelle,Una historia de ambición y excesos desmesurados que recorre la ascensión y caída de múltiples personajes durante una época de desenfrenada decadencia y depravación en los albores de Hollywood.,"Comedia
Drama
Historia",3h 9min,Babylon
175,"8,4",28%,P.J. Palmer,P.J. Palmer,"A rural rancher and his ailing husband, struggling against poverty and isolation, make a heartbreaking decision in order to preserve the dignity of their marriage.","Corto
Drama
Romance",30min,North Star
176,"2,8",0%,Sabbir Khan,Sabbir Khan,A lazy slacker struggles to get along with his diligent sister-in-law - until they must step up and fight together against a common enemy.,"Acción
Comedia
Drama",2h 32min,Nikamma
177,"7,6",87%,Mani Ratnam,Mani Ratnam,Las conspiraciones y la lucha por el poder entre los personajes principales y los que los rodean forman la base de esta historia.,"Acción
Aventura
Drama",2h 47min,Ponniyin Selvan: Part One
178,"6,4",94%,Shinji Higuchi,Hideaki Anno,"El gobierno japonés libra una batalla implacable y desesperada contra los invasores alienígenas conocidos como la Especie S, hasta que la esperanza para la humanidad surge en forma de un misterioso guerrero gigante procedente del espacio.","Acción
Aventura
Drama",1h 58min,Shin Ultraman
179,"4,7",57%,Adam Christian Clark,Adam Christian Clark,"A un oficial de inteligencia fracasado se le da la oportunidad de una última misión, reclutar un activo relacionado con la familia real saudita.","Drama
Misterio
Romance",1h 39min,Diary of a Spy
